n,scheme,trial,latency_us
128,hash_only,132,1
128,lattice_only,132,43
128,hybrid,133,45
128,hash_only,133,1
128,lattice_only,133,43
128,hybrid,134,45
128,hash_only,134,1
128,lattice_only,134,43
128,hybrid,135,46
128,hash_only,135,1
128,lattice_only,135,41
128,hybrid,136,43
128,hash_only,136,1
128,lattice_only,136,43
128,hybrid,137,44
128,hash_only,137,1
128,lattice_only,137,41
128,hybrid,138,44
128,hash_only,138,1
128,lattice_only,138,82
128,hybrid,139,46
128,hash_only,139,1
128,lattice_only,139,42
128,hybrid,140,70
128,hash_only,140,1
128,lattice_only,140,44
128,hybrid,141,45
128,hash_only,141,1
128,lattice_only,141,43
128,hybrid,142,45
128,hash_only,142,1
128,lattice_only,142,43
128,hybrid,143,42
128,hash_only,143,1
128,lattice_only,143,41
128,hybrid,144,46
128,hash_only,144,1
128,lattice_only,144,41
128,hybrid,145,44
128,hash_only,145,1
128,lattice_only,145,41
128,hybrid,146,44
128,hash_only,146,1
128,lattice_only,146,46
128,hybrid,147,45
128,hash_only,147,1
128,lattice_only,147,41
128,hybrid,148,45
128,hash_only,148,1
128,lattice_only,148,43
128,hybrid,149,47
128,hash_only,149,1
128,lattice_only,149,43
128,hybrid,150,45
128,hash_only,150,1
128,lattice_only,150,43
128,hybrid,151,45
128,hash_only,151,1
128,lattice_only,151,42
128,hybrid,152,45
128,hash_only,152,1
128,lattice_only,152,43
128,hybrid,153,45
128,hash_only,153,1
128,lattice_only,153,42
128,hybrid,154,46
128,hash_only,154,1
128,lattice_only,154,43
128,hybrid,155,52
128,hash_only,155,1
128,lattice_only,155,42
128,hybrid,156,45
128,hash_only,156,1
128,lattice_only,156,65
128,hybrid,157,46
128,hash_only,157,1
128,lattice_only,157,43
128,hybrid,158,46
128,hash_only,158,1
128,lattice_only,158,42
128,hybrid,159,45
128,hash_only,159,1
128,lattice_only,159,42
128,hybrid,160,46
128,hash_only,160,1
128,lattice_only,160,41
128,hybrid,161,46
128,hash_only,161,1
128,lattice_only,161,41
128,hybrid,162,44
128,hash_only,162,1
128,lattice_only,162,41
128,hybrid,163,44
128,hash_only,163,6
128,lattice_only,163,42
128,hybrid,164,45
128,hash_only,164,1
128,lattice_only,164,43
128,hybrid,165,66
128,hash_only,165,1
128,lattice_only,165,43
128,hybrid,166,46
128,hash_only,166,1
128,lattice_only,166,42
128,hybrid,167,45
128,hash_only,167,1
128,lattice_only,167,41
128,hybrid,168,44
128,hash_only,168,1
128,lattice_only,168,41
128,hybrid,169,44
128,hash_only,169,1
128,lattice_only,169,41
128,hybrid,170,44
128,hash_only,170,1
128,lattice_only,170,43
128,hybrid,171,44
128,hash_only,171,1
128,lattice_only,171,42
128,hybrid,172,46
128,hash_only,172,1
128,lattice_only,172,42
128,hybrid,173,71
128,hash_only,173,1
128,lattice_only,173,42
128,hybrid,174,47
