msg_len,scheme,trial,latency_us
32,hybrid,361,551
32,hash_only,361,1
32,hybrid,362,540
32,hash_only,362,1
32,hybrid,363,550
32,hash_only,363,1
32,hybrid,364,631
32,hash_only,364,1
32,hybrid,365,550
32,hash_only,365,1
32,hybrid,366,593
32,hash_only,366,2
32,hybrid,367,544
32,hash_only,367,1
32,hybrid,368,552
32,hash_only,368,1
32,hybrid,369,586
32,hash_only,369,1
32,hybrid,370,540
32,hash_only,370,1
32,hybrid,371,615
32,hash_only,371,1
32,hybrid,372,548
32,hash_only,372,1
32,hybrid,373,601
32,hash_only,373,1
32,hybrid,374,586
32,hash_only,374,1
32,hybrid,375,549
32,hash_only,375,1
32,hybrid,376,563
32,hash_only,376,1
32,hybrid,377,546
32,hash_only,377,1
32,hybrid,378,599
32,hash_only,378,1
32,hybrid,379,557
32,hash_only,379,1
32,hybrid,380,549
32,hash_only,380,1
32,hybrid,381,574
32,hash_only,381,2
32,hybrid,382,549
32,hash_only,382,1
32,hybrid,383,575
32,hash_only,383,1
32,hybrid,384,593
32,hash_only,384,1
32,hybrid,385,550
32,hash_only,385,1
32,hybrid,386,590
32,hash_only,386,1
32,hybrid,387,531
32,hash_only,387,1
32,hybrid,388,559
32,hash_only,388,1
32,hybrid,389,543
32,hash_only,389,1
32,hybrid,390,556
32,hash_only,390,1
32,hybrid,391,611
32,hash_only,391,1
32,hybrid,392,553
32,hash_only,392,1
32,hybrid,393,562
32,hash_only,393,1
32,hybrid,394,533
32,hash_only,394,1
32,hybrid,395,552
32,hash_only,395,1
32,hybrid,396,532
32,hash_only,396,1
32,hybrid,397,552
32,hash_only,397,1
32,hybrid,398,609
32,hash_only,398,2
32,hybrid,399,526
32,hash_only,399,1
32,hybrid,400,561
32,hash_only,400,1
32,hybrid,401,548
32,hash_only,401,1
32,hybrid,402,552
32,hash_only,402,1
32,hybrid,403,556
32,hash_only,403,1
32,hybrid,404,570
32,hash_only,404,1
32,hybrid,405,668
32,hash_only,405,2
32,hybrid,406,536
32,hash_only,406,1
32,hybrid,407,558
32,hash_only,407,1
32,hybrid,408,557
32,hash_only,408,1
32,hybrid,409,533
32,hash_only,409,1
32,hybrid,410,557
32,hash_only,410,1
32,hybrid,411,526
32,hash_only,411,1
32,hybrid,412,615
32,hash_only,412,1
32,hybrid,413,533
32,hash_only,413,1
32,hybrid,414,589
32,hash_only,414,1
32,hybrid,415,575
32,hash_only,415,1
32,hybrid,416,525
32,hash_only,416,1
32,hybrid,417,556
32,hash_only,417,1
32,hybrid,418,550
32,hash_only,418,1
32,hybrid,419,607
32,hash_only,419,1
32,hybrid,420,533
32,hash_only,420,1
32,hybrid,421,588
32,hash_only,421,1
32,hybrid,422,561
32,hash_only,422,1
32,hybrid,423,532
32,hash_only,423,1
32,hybrid,424,551
32,hash_only,424,1
32,hybrid,425,618
32,hash_only,425,1
32,hybrid,426,576
32,hash_only,426,1
32,hybrid,427,795
32,hash_only,427,4
32,hybrid,428,570
32,hash_only,428,1
32,hybrid,429,586
32,hash_only,429,1
32,hybrid,430,563
32,hash_only,430,1
32,hybrid,431,552
32,hash_only,431,1
32,hybrid,432,617
32,hash_only,432,1
32,hybrid,433,536
32,hash_only,433,1
32,hybrid,434,553
32,hash_only,434,1
32,hybrid,435,558
32,hash_only,435,1
32,hybrid,436,549
32,hash_only,436,1
32,hybrid,437,574
32,hash_only,437,1
32,hybrid,438,532
32,hash_only,438,1
32,hybrid,439,619
32,hash_only,439,1
32,hybrid,440,566
32,hash_only,440,1
32,hybrid,441,686
32,hash_only,441,2
32,hybrid,442,597
32,hash_only,442,2
32,hybrid,443,546
32,hash_only,443,1
32,hybrid,444,554
32,hash_only,444,1
32,hybrid,445,644
32,hash_only,445,2
32,hybrid,446,547
32,hash_only,446,1
32,hybrid,447,567
32,hash_only,447,1
32,hybrid,448,594
32,hash_only,448,1
32,hybrid,449,543
32,hash_only,449,1
32,hybrid,450,600
32,hash_only,450,2
32,hybrid,451,608
32,hash_only,451,2
32,hybrid,452,582
32,hash_only,452,2
32,hybrid,453,585
32,hash_only,453,2
32,hybrid,454,559
32,hash_only,454,1
32,hybrid,455,572
32,hash_only,455,2
32,hybrid,456,542
32,hash_only,456,1
32,hybrid,457,570
32,hash_only,457,2
32,hybrid,458,635
32,hash_only,458,2
32,hybrid,459,569
32,hash_only,459,1
32,hybrid,460,562
32,hash_only,460,2
32,hybrid,461,537
32,hash_only,461,1
32,hybrid,462,580
32,hash_only,462,1
32,hybrid,463,562
32,hash_only,463,2
32,hybrid,464,560
32,hash_only,464,1
32,hybrid,465,624
32,hash_only,465,2
32,hybrid,466,537
32,hash_only,466,1
32,hybrid,467,556
32,hash_only,467,1
32,hybrid,468,582
32,hash_only,468,1
32,hybrid,469,528
32,hash_only,469,1
32,hybrid,470,613
32,hash_only,470,2
32,hybrid,471,550
32,hash_only,471,1
32,hybrid,472,624
32,hash_only,472,1
32,hybrid,473,584
32,hash_only,473,2
32,hybrid,474,527
32,hash_only,474,1
32,hybrid,475,581
32,hash_only,475,1
32,hybrid,476,544
32,hash_only,476,1
32,hybrid,477,573
32,hash_only,477,1
32,hybrid,478,577
32,hash_only,478,2
32,hybrid,479,527
32,hash_only,479,1
32,hybrid,480,574
32,hash_only,480,2
32,hybrid,481,569
32,hash_only,481,1
32,hybrid,482,565
32,hash_only,482,1
32,hybrid,483,543
32,hash_only,483,1
32,hybrid,484,557
32,hash_only,484,1
32,hybrid,485,638
32,hash_only,485,2
32,hybrid,486,534
32,hash_only,486,1
32,hybrid,487,574
32,hash_only,487,1
32,hybrid,488,532
32,hash_only,488,1
32,hybrid,489,572
32,hash_only,489,1
32,hybrid,490,599
32,hash_only,490,2
32,hybrid,491,549
32,hash_only,491,1
32,hybrid,492,605
32,hash_only,492,1
32,hybrid,493,556
32,hash_only,493,1
32,hybrid,494,553
32,hash_only,494,1
32,hybrid,495,561
32,hash_only,495,2
32,hybrid,496,551
32,hash_only,496,1
32,hybrid,497,560
32,hash_only,497,2
32,hybrid,498,554
32,hash_only,498,1
32,hybrid,499,593
32,hash_only,499,2
32,hybrid,500,565
32,hash_only,500,1
32,hybrid,501,540
32,hash_only,501,1
32,hybrid,502,569
32,hash_only,502,1
32,hybrid,503,556
32,hash_only,503,1
32,hybrid,504,572
32,hash_only,504,1
32,hybrid,505,583
32,hash_only,505,2
32,hybrid,506,559
32,hash_only,506,1
32,hybrid,507,562
32,hash_only,507,2
32,hybrid,508,556
32,hash_only,508,1
32,hybrid,509,558
32,hash_only,509,1
32,hybrid,510,538
32,hash_only,510,1
32,hybrid,511,562
32,hash_only,511,1
32,hybrid,512,617
32,hash_only,512,2
32,hybrid,513,532
32,hash_only,513,1
32,hybrid,514,567
32,hash_only,514,1
32,hybrid,515,549
32,hash_only,515,1
32,hybrid,516,565
32,hash_only,516,1
32,hybrid,517,556
32,hash_only,517,1
32,hybrid,518,554
32,hash_only,518,1
32,hybrid,519,615
32,hash_only,519,2
32,hybrid,520,535
32,hash_only,520,1
32,hybrid,521,562
32,hash_only,521,1
32,hybrid,522,560
32,hash_only,522,1
32,hybrid,523,584
32,hash_only,523,1
32,hybrid,524,569
32,hash_only,524,1
32,hybrid,525,533
32,hash_only,525,1
32,hybrid,526,603
32,hash_only,526,1
32,hybrid,527,541
32,hash_only,527,1
32,hybrid,528,556
32,hash_only,528,1
32,hybrid,529,559
32,hash_only,529,2
32,hybrid,530,526
32,hash_only,530,1
32,hybrid,531,584
32,hash_only,531,2
32,hybrid,532,535
32,hash_only,532,1
32,hybrid,533,601
32,hash_only,533,1
32,hybrid,534,545
32,hash_only,534,1
32,hybrid,535,558
32,hash_only,535,1
32,hybrid,536,576
32,hash_only,536,1
32,hybrid,537,551
32,hash_only,537,1
32,hybrid,538,554
32,hash_only,538,1
32,hybrid,539,533
32,hash_only,539,1
32,hybrid,540,623
32,hash_only,540,2
32,hybrid,541,582
32,hash_only,541,2
32,hybrid,542,526
32,hash_only,542,1
32,hybrid,543,595
32,hash_only,543,2
32,hybrid,544,559
32,hash_only,544,1
32,hybrid,545,577
32,hash_only,545,1
32,hybrid,546,664
32,hash_only,546,2
32,hybrid,547,557
32,hash_only,547,1
32,hybrid,548,567
32,hash_only,548,1
32,hybrid,549,563
32,hash_only,549,1
32,hybrid,550,578
32,hash_only,550,1
32,hybrid,551,560
32,hash_only,551,2
32,hybrid,552,549
32,hash_only,552,1
32,hybrid,553,598
32,hash_only,553,2
32,hybrid,554,543
32,hash_only,554,1
32,hybrid,555,554
32,hash_only,555,1
32,hybrid,556,537
32,hash_only,556,2
32,hybrid,557,526
32,hash_only,557,1
32,hybrid,558,566
32,hash_only,558,2
32,hybrid,559,552
32,hash_only,559,1
32,hybrid,560,607
32,hash_only,560,1
32,hybrid,561,558
32,hash_only,561,1
32,hybrid,562,566
32,hash_only,562,1
32,hybrid,563,559
32,hash_only,563,2
32,hybrid,564,533
32,hash_only,564,1
32,hybrid,565,553
32,hash_only,565,2
32,hybrid,566,544
32,hash_only,566,1
32,hybrid,567,577
32,hash_only,567,2
32,hybrid,568,562
32,hash_only,568,2
32,hybrid,569,526
32,hash_only,569,1
32,hybrid,570,559
32,hash_only,570,1
32,hybrid,571,540
32,hash_only,571,1
32,hybrid,572,553
32,hash_only,572,1
32,hybrid,573,577
32,hash_only,573,2
32,hybrid,574,553
32,hash_only,574,1
32,hybrid,575,572
32,hash_only,575,2
32,hybrid,576,558
32,hash_only,576,1
32,hybrid,577,575
32,hash_only,577,1
32,hybrid,578,538
32,hash_only,578,1
32,hybrid,579,553
32,hash_only,579,1
32,hybrid,580,613
32,hash_only,580,2
32,hybrid,581,552
32,hash_only,581,1
32,hybrid,582,562
32,hash_only,582,1
32,hybrid,583,556
32,hash_only,583,1
32,hybrid,584,588
32,hash_only,584,1
32,hybrid,585,561
32,hash_only,585,1
32,hybrid,586,533
32,hash_only,586,1
32,hybrid,587,607
32,hash_only,587,2
32,hybrid,588,536
32,hash_only,588,1
32,hybrid,589,556
32,hash_only,589,1
32,hybrid,590,540
32,hash_only,590,1
32,hybrid,591,565
32,hash_only,591,1
32,hybrid,592,576
32,hash_only,592,1
32,hybrid,593,554
32,hash_only,593,1
32,hybrid,594,620
32,hash_only,594,1
32,hybrid,595,569
32,hash_only,595,1
32,hybrid,596,570
32,hash_only,596,2
32,hybrid,597,584
32,hash_only,597,2
32,hybrid,598,553
32,hash_only,598,1
32,hybrid,599,553
32,hash_only,599,1
32,hybrid,600,534
32,hash_only,600,1
32,hybrid,601,573
32,hash_only,601,1
32,hybrid,602,561
32,hash_only,602,1
32,hybrid,603,527
32,hash_only,603,1
32,hybrid,604,570
32,hash_only,604,1
32,hybrid,605,546
32,hash_only,605,1
32,hybrid,606,575
32,hash_only,606,1
32,hybrid,607,614
32,hash_only,607,2
32,hybrid,608,539
32,hash_only,608,1
32,hybrid,609,568
32,hash_only,609,2
32,hybrid,610,533
32,hash_only,610,1
32,hybrid,611,578
32,hash_only,611,1
32,hybrid,612,558
32,hash_only,612,1
32,hybrid,613,551
32,hash_only,613,1
32,hybrid,614,608
32,hash_only,614,2
32,hybrid,615,546
32,hash_only,615,1
32,hybrid,616,554
32,hash_only,616,1
32,hybrid,617,560
32,hash_only,617,1
32,hybrid,618,554
32,hash_only,618,2
32,hybrid,619,581
32,hash_only,619,1
32,hybrid,620,526
32,hash_only,620,1
32,hybrid,621,618
32,hash_only,621,2
32,hybrid,622,534
32,hash_only,622,1
32,hybrid,623,577
32,hash_only,623,1
32,hybrid,624,585
32,hash_only,624,2
32,hybrid,625,526
32,hash_only,625,1
32,hybrid,626,567
32,hash_only,626,2
32,hybrid,627,555
32,hash_only,627,1
32,hybrid,628,594
32,hash_only,628,1
32,hybrid,629,541
32,hash_only,629,1
32,hybrid,630,555
32,hash_only,630,1
32,hybrid,631,576
32,hash_only,631,2
32,hybrid,632,525
32,hash_only,632,1
32,hybrid,633,560
32,hash_only,633,2
