n,q,sigma,scheme,trial,latency_us
512,3329,1,hybrid,201,493
512,3329,1,lattice_only,201,512
512,3329,1,hybrid,202,566
512,3329,1,lattice_only,202,512
512,3329,1,hybrid,203,498
512,3329,1,lattice_only,203,507
512,3329,1,hybrid,204,498
512,3329,1,lattice_only,204,507
512,3329,1,hybrid,205,498
512,3329,1,lattice_only,205,545
512,3329,1,hybrid,206,529
512,3329,1,lattice_only,206,480
512,3329,1,hybrid,207,523
512,3329,1,lattice_only,207,480
512,3329,1,hybrid,208,521
512,3329,1,lattice_only,208,480
512,3329,1,hybrid,209,525
512,3329,1,lattice_only,209,533
512,3329,1,hybrid,210,533
512,3329,1,lattice_only,210,486
512,3329,1,hybrid,211,529
512,3329,1,lattice_only,211,488
512,3329,1,hybrid,212,523
512,3329,1,lattice_only,212,485
512,3329,1,hybrid,213,561
512,3329,1,lattice_only,213,488
512,3329,1,hybrid,214,523
512,3329,1,lattice_only,214,512
512,3329,1,hybrid,215,492
512,3329,1,lattice_only,215,512
512,3329,1,hybrid,216,492
512,3329,1,lattice_only,216,513
512,3329,1,hybrid,217,532
512,3329,1,lattice_only,217,534
512,3329,1,hybrid,218,498
512,3329,1,lattice_only,218,507
512,3329,1,hybrid,219,498
512,3329,1,lattice_only,219,504
512,3329,1,hybrid,220,498
512,3329,1,lattice_only,220,551
512,3329,1,hybrid,221,506
512,3329,1,lattice_only,221,508
512,3329,1,hybrid,222,498
512,3329,1,lattice_only,222,504
512,3329,1,hybrid,223,498
512,3329,1,lattice_only,223,480
512,3329,1,hybrid,224,548
512,3329,1,lattice_only,224,522
512,3329,1,hybrid,225,528
512,3329,1,lattice_only,225,480
512,3329,1,hybrid,226,522
512,3329,1,lattice_only,226,479
512,3329,1,hybrid,227,526
512,3329,1,lattice_only,227,486
512,3329,1,hybrid,228,519
512,3329,1,lattice_only,228,537
512,3329,1,hybrid,229,521
512,3329,1,lattice_only,229,486
512,3329,1,hybrid,230,517
512,3329,1,lattice_only,230,488
512,3329,1,hybrid,231,520
512,3329,1,lattice_only,231,486
512,3329,1,hybrid,232,557
512,3329,1,lattice_only,232,513
512,3329,1,hybrid,233,492
512,3329,1,lattice_only,233,510
512,3329,1,hybrid,234,492
512,3329,1,lattice_only,234,512
