n,scheme,target_rate,latency_us,breached
128,hybrid,1000,49,0
128,hybrid,1000,49,0
128,hybrid,1000,50,0
128,hybrid,1000,49,0
128,hybrid,2500,46,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,79,0
128,hybrid,2500,47,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,44,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,78,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,44,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,77,0
128,hybrid,2500,47,0
128,hybrid,2500,47,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,95,0
128,hybrid,2500,47,0
128,hybrid,2500,46,0
128,hybrid,2500,44,0
128,hybrid,2500,44,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,77,0
128,hybrid,2500,45,0
128,hybrid,2500,51,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,46,0
128,hybrid,2500,78,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,77,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,44,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,44,0
128,hybrid,2500,46,0
128,hybrid,2500,78,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,44,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,44,0
128,hybrid,2500,46,0
128,hybrid,2500,48,0
128,hybrid,2500,46,0
128,hybrid,2500,80,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,88,0
128,hybrid,2500,47,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,46,0
128,hybrid,2500,44,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,43,0
128,hybrid,2500,83,0
128,hybrid,2500,47,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,47,0
128,hybrid,2500,44,0
128,hybrid,2500,46,0
128,hybrid,2500,79,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,99,0
128,hybrid,2500,47,0
128,hybrid,2500,47,0
128,hybrid,2500,44,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,78,0
128,hybrid,2500,47,0
128,hybrid,2500,47,0
128,hybrid,2500,48,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,79,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,43,0
128,hybrid,2500,83,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,47,0
128,hybrid,2500,44,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,90,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,61,0
128,hybrid,2500,47,0
128,hybrid,2500,49,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,101,0
128,hybrid,2500,49,0
128,hybrid,2500,49,0
128,hybrid,2500,48,0
128,hybrid,2500,47,0
128,hybrid,2500,47,0
128,hybrid,2500,46,0
128,hybrid,2500,47,0
128,hybrid,2500,47,0
128,hybrid,2500,47,0
128,hybrid,2500,87,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,47,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,47,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,84,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,44,0
128,hybrid,2500,44,0
128,hybrid,2500,44,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,82,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,64,0
128,hybrid,2500,44,0
128,hybrid,2500,47,0
128,hybrid,2500,46,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,44,0
128,hybrid,2500,83,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,46,0
128,hybrid,2500,44,0
128,hybrid,2500,79,0
128,hybrid,2500,47,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,50,0
128,hybrid,2500,47,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,80,0
128,hybrid,2500,47,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,84,0
128,hybrid,2500,45,0
128,hybrid,2500,46,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,45,0
128,hybrid,2500,47,0
128,hybrid,2500,47,0
128,hybrid,2500,46,0
128,hybrid,2500,46,0
